cluster_id,ra,dec,parallax,pmra,pmdec,n_members,l,b,age_myr
Berkeley_92,321.206,57.528,0.068,-2.464,-2.325,35,97.92578705547832,5.062556239626854,2754.2260421949854
Berkeley_94,335.711,55.862,0.217,-3.713,-2.861,39,103.11813446775245,-1.185317686777299,15.48816822976791
Berkeley_95,337.082,59.129,0.248,-3.401,-2.287,31,105.47145408021123,1.1974358781900447,12.022642234116693
Berkeley_96,337.478,55.408,0.252,-3.503,-2.994,53,103.72716468502891,-2.096505556091038,37.153537595204696
Berkeley_97,339.853,59.005,0.314,-2.736,-1.808,76,106.64045008916254,0.3742039038806525,15.13560650178649
Berkeley_98,340.665,52.407,0.253,-1.353,-3.186,148,103.86892856196904,-5.632717233175898,2454.710856206481
Berkeley_99,350.26,71.778,0.137,-3.139,-0.359,88,115.91999048089215,10.147785339498203,3388.439477987164
Bica_3,276.519,-13.058,0.391,-0.588,-1.598,70,18.44594155803788,-0.4170138812545924,
Biurakan_2,302.283,35.488,0.542,-3.169,-6.843,47,72.74726847377087,1.3596697977327035,9.332538499404743
Blanco_1,0.853,-29.958,4.21,18.739,2.602,380,15.090004398139593,-79.08603694094178,104.71296517666539
Bochum_11,161.769,-60.096,0.389,-6.335,1.742,61,288.0115750077363,-0.8772045337418173,6.309576215861531
Bochum_13,259.333,-35.529,0.567,-0.286,-1.284,57,351.2106072969847,1.3831706212090722,8.912505467113453
Bochum_3,105.86,-5.021,0.448,-1.174,-0.19,17,218.76736150014943,0.37240514578705114,114.81547308470718
Bochum_4,112.877,-17.229,0.761,-3.014,1.848,21,232.77186502758514,0.7338404352711613,95.49926279631119
Bochum_6,112.992,-19.416,0.249,-2.28,2.308,75,234.74093164196722,-0.22419167382890692,6.456541439665037
COIN-Gaia_1,11.933,66.769,1.546,-5.034,-3.048,78,122.56565122431846,3.8998871853815946,181.9701817628807
COIN-Gaia_10,68.385,40.509,0.943,2.025,-3.355,28,161.9196669768431,-4.980952629813138,54.954058423872254
COIN-Gaia_11,68.11,39.479,1.485,3.574,-5.62,75,162.53756584320476,-5.833525880880228,794.3275370132719
COIN-Gaia_12,79.209,41.708,1.03,2.616,-4.681,67,166.11308776939427,2.1116588599543267,537.0312303176601
